1.360387928896103382e+00,1.095285484546552279e+00
5.133833418023157069e-01,7.965439890502590270e-01
6.001268800733652320e-01,9.808660673024947041e-01
5.100352186623064998e-01,9.407426704620049929e-01
1.250040003672015398e+00,1.319095776323105262e+00
1.250330793559807585e+00,1.192903483944074639e+00
1.397970705519309131e+00,1.218098648767615311e+00
1.062359145576879937e+00,1.467148886746244774e+00
1.777133044281133500e+00,6.022939042016968170e-01
5.273320163792523108e-01,9.911489580608590089e-01
4.695710506086603342e-01,5.163260469967621002e-01
1.315907914169395676e+00,1.490467362423324227e+00
5.614620681603978980e-01,1.657434852320144758e+00
8.245463170981499612e-01,1.371889416877689172e+00
2.709743026039621583e-01,3.675484053316706579e-01
1.804139029099339098e+00,5.998818458897958728e-01
1.567180776356046357e+00,3.901106453621703274e-01
1.354124125395211431e+00,1.410758559291830361e+00
2.996234600377993829e-01,3.610965073316854124e-01
1.393238959235822749e+00,1.044665835843709534e+00
2.580260862454897275e-01,5.923436465720119948e-01
9.010349241680426502e-01,1.090569868064201531e+00
1.584046563966355015e+00,4.935578406427980624e-01
1.798163675484363289e+00,6.326409949942930488e-01
1.089666796937483806e+00,1.566838860878557504e+00
1.617205037360213815e+00,1.556087698563236144e+00
1.360581423411200808e+00,8.810689435528737956e-01
1.534797469920274882e+00,5.017032661856275499e-01
1.699044317300280049e-01,8.951180455600475927e-01
8.957792871754199915e-01,1.418890583007891060e+00
